meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1222,9206,1,18,1,5,HARD,0
1222,9206,1,14,1,6,HARD,0
1222,9206,1,23,1,6,MEDIUM,0
1222,9206,1,1,1,8,HARD,0
1222,9206,1,10,1,8,HARD,0
1222,9206,1,11,1,8,HARD,0
1222,9206,1,20,1,8,MEDIUM,0
1222,9206,1,24,1,8,MEDIUM,0
1222,9206,1,27,1,8,MEDIUM,0
1222,9206,1,31,1,8,HARD,0
1222,9206,1,77,1,8,MEDIUM,0
1222,9206,1,81,1,9,MEDIUM,0
1222,9206,1,2,1,10,MEDIUM,0
1222,9206,1,3,1,10,MEDIUM,0
1222,9206,1,4,1,10,MEDIUM,0
1222,9206,1,22,1,10,MEDIUM,0
1222,9206,1,44,1,10,HARD,0
1222,9206,1,55,1,10,HARD,0
1222,9206,1,63,1,10,HARD,0
1222,9206,1,16,1,11,HARD,0
1222,9206,2,14,6,13,HARD,5
1222,9206,2,23,6,13,MEDIUM,5
1222,9206,2,20,8,9,MEDIUM,7
1222,9206,2,27,8,15,MEDIUM,7
1222,9206,2,10,8,17,HARD,7
1222,9206,2,31,8,17,HARD,7
1222,9206,2,77,8,17,MEDIUM,7
1222,9206,2,1,8,18,HARD,7
1222,9206,2,11,8,18,HARD,7
1222,9206,2,24,8,18,MEDIUM,7
1222,9206,3,20,9,16,MEDIUM,8
1222,9206,2,81,9,18,MEDIUM,8
1222,9206,2,4,10,13,MEDIUM,9
1222,9206,2,2,10,18,MEDIUM,9
1222,9206,2,3,10,18,MEDIUM,9
1222,9206,2,44,10,18,HARD,9
1222,9206,2,55,10,18,HARD,9
1222,9206,2,22,10,19,MEDIUM,9
1222,9206,2,63,10,19,HARD,0
1222,9206,2,16,11,19,HARD,10
1222,9206,3,14,13,19,HARD,12
1222,9206,3,23,13,19,SOFT,0
1222,9206,3,4,13,21,MEDIUM,12
1222,9206,3,27,15,18,SOFT,0
1222,9206,4,20,16,21,SOFT,0
1222,9206,3,10,17,20,SOFT,0
1222,9206,3,31,17,20,SOFT,0
1222,9206,3,77,17,24,SOFT,0
1222,9206,3,1,18,21,SOFT,0
1222,9206,3,11,18,21,SOFT,0
1222,9206,3,24,18,21,SOFT,0
1222,9206,3,44,18,21,SOFT,0
1222,9206,4,27,18,21,SOFT,3
1222,9206,3,81,18,22,MEDIUM,17
1222,9206,3,2,18,24,SOFT,0
1222,9206,3,3,18,24,SOFT,0
1222,9206,3,55,18,24,SOFT,0
1222,9206,4,23,19,21,SOFT,6
1222,9206,3,63,19,22,SOFT,0
1222,9206,3,16,19,25,SOFT,0
1222,9206,3,22,19,25,SOFT,0
1222,9206,4,10,20,22,HARD,16
1222,9206,4,31,20,22,HARD,16
1222,9206,4,1,21,23,HARD,17
1222,9206,4,11,21,23,HARD,17
1222,9206,4,44,21,23,HARD,17
1222,9206,4,24,21,25,SOFT,3
1222,9206,4,63,22,25,SOFT,3
1222,9206,4,2,24,26,MEDIUM,17
